fen,move
7Q/5p1p/3bk3/8/8/P7/1P3PPP/R2R2K1 w - - 1 27,Rxd6+
7Q/5p1p/3k4/8/8/P7/1P3PPP/R5K1 w - - 0 28,Qxh7
8/7Q/3k1p2/8/8/P7/1P3PPP/R5K1 w - - 0 29,Re1
8/7Q/3k4/5p2/8/P7/1P3PPP/4R1K1 w - - 0 30,Qe7+
8/4Q3/8/3k1p2/8/P7/1P3PPP/4R1K1 w - - 2 31,Rd1+
8/4Q3/2k5/5p2/8/P7/1P3PPP/3R2K1 w - - 4 32,Qe6+
8/8/4Q3/2k2p2/8/P7/1P3PPP/3R2K1 w - - 6 33,b3
8/8/4Q3/1k3p2/8/PP6/5PPP/3R2K1 w - - 1 34,Qc4+
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,Nf3
rnbqkbnr/ppp1pppp/8/3p4/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 0 2,d4
rn1qkbnr/ppp1pppp/8/3p1b2/3P4/5N2/PPP1PPPP/RNBQKB1R w KQkq - 1 3,Bf4
rn1qkb1r/ppp1pppp/5n2/3p1b2/3P1B2/5N2/PPP1PPPP/RN1QKB1R w KQkq - 3 4,e3
r2qkb1r/ppp1pppp/2n2n2/3p1b2/3P1B2/4PN2/PPP2PPP/RN1QKB1R w KQkq - 1 5,Bd3
r2qkb1r/ppp2ppp/2n1pn2/3p1b2/3P1B2/3BPN2/PPP2PPP/RN1QK2R w KQkq - 0 6,Qe2
r2qk2r/ppp2ppp/2n1pn2/3p1b2/1b1P1B2/3BPN2/PPP1QPPP/RN2K2R w KQkq - 2 7,c3
r2qk2r/ppp2ppp/2nbpn2/3p1b2/3P1B2/2PBPN2/PP2QPPP/RN2K2R w KQkq - 1 8,Bg3
r2qk2r/ppp2ppp/2nbpn2/3p4/3P4/2PbPNB1/PP2QPPP/RN2K2R w KQkq - 0 9,Qxd3
r3k2r/pppq1ppp/2nbpn2/3p4/3P4/2PQPNB1/PP3PPP/RN2K2R w KQkq - 1 10,Nbd2
r3k2r/1ppq1ppp/p1nbpn2/3p4/3P4/2PQPNB1/PP1N1PPP/R3K2R w KQkq - 0 11,Ne5
r3k2r/1ppq1ppp/p1n1pn2/3pb3/3P4/2PQP1B1/PP1N1PPP/R3K2R w KQkq - 0 12,Bxe5
r3k2r/1ppq1ppp/p3pn2/3pn3/3P4/2PQP3/PP1N1PPP/R3K2R w KQkq - 0 13,dxe5
r3k2r/1ppq1ppp/p3p3/3pP3/6n1/2PQP3/PP1N1PPP/R3K2R w KQkq - 1 14,c4
r3k2r/1ppq1ppp/p3p3/3pn3/2P5/3QP3/PP1N1PPP/R3K2R w KQkq - 0 15,Qc2
r4rk1/1ppq1ppp/p3p3/3pn3/2P5/4P3/PPQN1PPP/R3K2R w KQ - 2 16,O-O-O
r4rk1/1p1q1ppp/p1p1p3/3pn3/2P5/4P3/PPQN1PPP/2KR3R w - - 0 17,Rdg1
r4rk1/1p1q1ppp/p3p3/2ppn3/2P5/4P3/PPQN1PPP/2K3RR w - - 0 18,g4
r4rk1/3q1ppp/p3p3/1pppn3/2P3P1/4P3/PPQN1P1P/2K3RR w - - 0 19,h4
r4rk1/3q1ppp/p3p3/2ppn3/2p3PP/4P3/PPQN1P2/2K3RR w - - 0 20,h5
r4rk1/3q1ppp/p3p3/2p1n2P/2pp2P1/4P3/PPQN1P2/2K3RR w - - 0 21,Nxc4
r4rk1/3q1ppp/p3p3/2p4P/2Np2P1/4Pn2/PPQ2P2/2K3RR w - - 1 22,Nb6
r4rk1/5ppp/pN2p3/1qp4P/3p2P1/4Pn2/PPQ2P2/2K3RR w - - 3 23,Nxa8
N4rk1/5ppp/p3p3/1qp4P/6P1/3pPn2/PPQ2P2/2K3RR w - - 0 24,Nc7
5rk1/2N2ppp/p3p3/1qp4P/6P1/4Pn2/PPQp1P2/2K3RR w - - 0 25,Qxd2
5rk1/2N2ppp/p3p3/2p4P/2q3P1/4Pn2/PP1Q1P2/2K3RR w - - 1 26,Qc3
5rk1/2N2ppp/p3p3/2p4P/q5P1/2Q1Pn2/PP3P2/2K3RR w - - 3 27,a3
5rk1/2N2ppp/p3p3/2p4P/q5P1/P1Q1P3/1P3P2/2K3nR w - - 0 28,Rxg1
5rk1/2N2ppp/p1q1p3/2p4P/6P1/P1Q1P3/1P3P2/2K3R1 w - - 1 29,Qa5
5rk1/2N2ppp/p3p3/Q1p4P/6P1/P3Pq2/1P3P2/2K3R1 w - - 3 30,Nxa6
5rk1/5ppp/N3p3/Q1p4P/6P1/P3P3/1P3q2/2K3R1 w - - 0 31,Qe1
5rk1/5ppp/N3pq2/2p4P/6P1/P3P3/1P6/2K1Q1R1 w - - 2 32,Nxc5
2r3k1/5ppp/4pq2/2N4P/6P1/P3P3/1P6/2K1Q1R1 w - - 1 33,b4
2r3k1/5ppp/4p3/2N4P/1P4P1/P3P3/8/q1K1Q1R1 w - - 1 34,Kd2
2r3k1/5ppp/4p3/2N4P/1P4P1/q3P3/3K4/4Q1R1 w - - 0 35,Qb1
3r2k1/5ppp/4p3/2N4P/1P4P1/q3P3/3K4/1Q4R1 w - - 2 36,Nd3
3r2k1/5ppp/8/4p2P/1P4P1/q2NP3/3K4/1Q4R1 w - - 0 37,Ke2
3r2k1/5ppp/q7/4p2P/1P4P1/3NP3/4K3/1Q4R1 w - - 2 38,b5
3r2k1/5ppp/1q6/1P2p2P/6P1/3NP3/4K3/1Q4R1 w - - 1 39,Nxe5
6k1/5ppp/1q6/1P1rN2P/6P1/4P3/4K3/1Q4R1 w - - 1 40,Nc4
6k1/5ppp/8/1q1r3P/2N3P1/4P3/4K3/1Q4R1 w - - 0 41,Qxb5
6k1/5ppp/8/1r5P/2N3P1/4P3/4K3/6R1 w - - 0 42,Rd1
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,e5
