fen,move
r4rk1/pp1n1pp1/4bq1p/2p5/3P4/2P1PN2/P3BPPP/R2Q1RK1 b - - 1 12,cxd4
r4rk1/pp1n1pp1/4bq1p/8/3P4/4PN2/P3BPPP/R2Q1RK1 b - - 0 13,Nb6
r4rk1/pp3pp1/1n2bq1p/8/P2P4/4PN2/4BPPP/R2Q1RK1 b - - 0 14,a6
r4rk1/1p3pp1/pn2bq1p/4N3/P2P4/4P3/4BPPP/R2Q1RK1 b - - 1 15,Rfe8
r3r1k1/1p3pp1/pn2bq1p/4N3/P2P4/4P3/4BPPP/1R1Q1RK1 b - - 3 16,Nd7
r3r1k1/1R1n1pp1/p3bq1p/4N3/P2P4/4P3/4BPPP/3Q1RK1 b - - 0 17,Nxe5
r3r1k1/1R3pp1/p3bq1p/4P3/P7/4P3/4BPPP/3Q1RK1 b - - 0 18,Qxe5
r3r1k1/1R3pp1/p3b2p/4q3/P7/4PB2/5PPP/3Q1RK1 b - - 1 19,Ra7
4r1k1/R4pp1/p3b2p/4q3/P7/4PB2/5PPP/3Q1RK1 b - - 0 20,Bf5
4r1k1/R4pp1/p6p/3Qqb2/P7/4PB2/5PPP/5RK1 b - - 2 21,Qf6
4r1k1/R4pp1/p4q1p/3Q1b2/P3P3/5B2/5PPP/5RK1 b - - 0 22,Be6
4r1k1/RQ3pp1/p3bq1p/8/P3P3/5B2/5PPP/5RK1 b - - 2 23,Kf8
4rk2/1Q3pp1/R3bq1p/8/P3P3/5B2/5PPP/5RK1 b - - 0 24,Re7
1Q3k2/4rpp1/R3bq1p/8/P3P3/5B2/5PPP/5RK1 b - - 2 25,Re8
4rk2/1Q3pp1/R3bq1p/8/P3P3/5B2/5PPP/5RK1 b - - 4 26,Re7
R4k2/1Q2rpp1/4bq1p/8/P3P3/5B2/5PPP/5RK1 b - - 6 27,Re8
R3rk2/5pp1/4bq1p/8/PQ2P3/5B2/5PPP/5RK1 b - - 8 28,Qe7
R3rk2/4Qpp1/4b2p/8/P3P3/5B2/5PPP/5RK1 b - - 0 29,Kxe7
4R3/4kpp1/4b2p/8/P3P3/5B2/5PPP/5RK1 b - - 0 30,Kxe8
4k3/5pp1/4b2p/P7/4P3/5B2/5PPP/5RK1 b - - 0 31,Bc8
2b1k3/5pp1/7p/P3P3/8/5B2/5PPP/5RK1 b - - 0 32,Ba6
4k3/5pp1/b6p/P3P3/8/5B2/5PPP/1R4K1 b - - 2 33,Ke7
8/4kpp1/bR5p/P3P3/8/5B2/5PPP/6K1 b - - 4 34,Bc4
8/4kpp1/PR5p/4P3/2b5/5B2/5PPP/6K1 b - - 0 35,Bxa6
8/4kpp1/R6p/4P3/8/5B2/5PPP/6K1 b - - 0 36,f6
8/4k1p1/R4P1p/8/8/5B2/5PPP/6K1 b - - 0 37,gxf6
8/4k3/R4p1p/8/6B1/8/5PPP/6K1 b - - 1 38,Kf7
8/5k2/R4p1p/5B2/8/8/5PPP/6K1 b - - 3 39,Kg7
8/R5k1/5p1p/5B2/8/8/5PPP/6K1 b - - 5 40,Kf8
5k2/R7/5pBp/8/8/8/5PPP/6K1 b - - 7 41,h5
5k2/R7/5pB1/7p/5P2/8/6PP/6K1 b - - 0 42,h4
5k2/R7/5pB1/5P2/7p/8/6PP/6K1 b - - 0 43,Kg8
6k1/R7/5pB1/5P2/7p/8/5KPP/8 b - - 2 44,Kf8
5k2/R7/5pB1/5P2/7p/5K2/6PP/8 b - - 4 45,Kg8
6k1/R7/5pB1/5P2/6Kp/8/6PP/8 b - - 6 46,Kf8
5k2/R7/5pB1/5P1K/7p/8/6PP/8 b - - 8 47,h3
5k2/R7/5pBK/5P2/8/7p/6PP/8 b - - 1 48,hxg2
5k2/8/5pBK/5P2/8/8/6pP/R7 b - - 1 49,g1=Q
5k2/8/5pBK/5P2/8/8/7P/6R1 b - - 0 50,Ke7
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e4
rnbqkbnr/pp1ppppp/2p5/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,Nf3
rnbqkbnr/pp2pppp/2p5/3p4/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,d4
rnbqkbnr/pp2pppp/2p5/8/3Pp3/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 4,Ng1
rnbqkb1r/pp2pppp/2p2n2/8/3Pp3/8/PPP2PPP/RNBQKBNR w KQkq - 2 5,f3
rn1qkb1r/pp2pppp/2p2n2/5b2/3Pp3/5P2/PPP3PP/RNBQKBNR w KQkq - 1 6,fxe4
rn1qkb1r/pp2pppp/2p5/5b2/3Pn3/8/PPP3PP/RNBQKBNR w KQkq - 0 7,Bd3
rn1qkb1r/pp2pppp/2pn4/5b2/3P4/3B4/PPP3PP/RNBQK1NR w KQkq - 2 8,Bxf5
rn1qkb1r/pp2pppp/2p5/5n2/3P4/8/PPP3PP/RNBQK1NR w KQkq - 0 9,Nf3
rn1qkb1r/pp2pppp/2pn4/8/3P4/5N2/PPP3PP/RNBQK2R w KQkq - 2 10,O-O
rn1qkb1r/pp3ppp/2pnp3/8/3P4/5N2/PPP3PP/RNBQ1RK1 w kq - 0 11,Kh1
rn1qk2r/pp2bppp/2pnp3/8/3P4/5N2/PPP3PP/RNBQ1R1K w kq - 2 12,c4
rn1q1rk1/pp2bppp/2pnp3/8/2PP4/5N2/PP4PP/RNBQ1R1K w - - 1 13,b3
rn1q1rk1/p3bppp/1ppnp3/8/2PP4/1P3N2/P5PP/RNBQ1R1K w - - 0 14,Nc3
r2q1rk1/p2nbppp/1ppnp3/8/2PP4/1PN2N2/P5PP/R1BQ1R1K w - - 2 15,Bf4
r2q1rk1/p3bppp/1ppnpn2/8/2PP1B2/1PN2N2/P5PP/R2Q1R1K w - - 4 16,Ne5
r1q2rk1/p3bppp/1ppnpn2/4N3/2PP1B2/1PN5/P5PP/R2Q1R1K w - - 6 17,Qf3
r1q2rk1/p3bppp/1pp1pn2/4Nn2/2PP1B2/1PN2Q2/P5PP/R4R1K w - - 8 18,Rad1
r1q2rk1/p4ppp/1pp1pn2/4Nn2/1bPP1B2/1PN2Q2/P5PP/3R1R1K w - - 10 19,Ne4
r1q2rk1/p4ppp/1pp1p3/4Nn2/1bPPnB2/1P3Q2/P5PP/3R1R1K w - - 0 20,Qxe4
r1q2rk1/p5pp/1pp1pp2/4Nn2/1bPPQB2/1P6/P5PP/3R1R1K w - - 0 21,Ng4
r1q2rk1/p5p1/1pp1pp2/5n1p/1bPPQBN1/1P6/P5PP/3R1R1K w - - 0 22,Ne3
r1q2rk1/p5p1/1pp1pp2/7p/1bPPQB2/1P2n3/P5PP/3R1R1K w - - 0 23,Bxe3
r1q2rk1/p5p1/1ppbpp2/7p/2PPQ3/1P2B3/P5PP/3R1R1K w - - 1 24,d5
r1q2rk1/p5p1/1ppb1p2/3p3p/2P1Q3/1P2B3/P5PP/3R1R1K w - - 0 25,cxd5
r1q1r1k1/p5p1/1ppb1p2/3P3p/4Q3/1P2B3/P5PP/3R1R1K w - - 1 26,Qd3
r1q1r1k1/p5p1/1p1b1p2/2pP3p/8/1P1QB3/P5PP/3R1R1K w - - 0 27,Bf4
r3r1k1/p1q3p1/1p1b1p2/2pP3p/5B2/1P1Q4/P5PP/3R1R1K w - - 2 28,Bxd6
r3r1k1/p5p1/1p1q1p2/2pP3p/8/1P1Q4/P5PP/3R1R1K w - - 0 29,Rde1
r5k1/p5p1/1p1q1p2/2pPr2p/8/1P1Q4/P5PP/4RR1K w - - 2 30,Rxe5
r5k1/p5p1/1p1q4/2pPp2p/8/1P1Q4/P5PP/5R1K w - - 0 31,Rd1
4r1k1/p5p1/1p1q4/2pPp2p/8/1P1Q4/P5PP/3R3K w - - 2 32,Kg1
4r1k1/p5p1/1p1q4/2pP3p/4p3/1P1Q4/P5PP/3R2K1 w - - 0 33,Qe3
4r1k1/p5p1/1p6/2pPq2p/4p3/1P2Q3/P5PP/3R2K1 w - - 2 34,d6
3r2k1/p5p1/1p1P4/2p1q2p/4p3/1P2Q3/P5PP/3R2K1 w - - 1 35,d7
3r2k1/p2P2p1/1p2q3/2p4p/4p3/1P2Q3/P5PP/3R2K1 w - - 1 36,Qd2
3r2k1/p2P2p1/1p2q3/2p4p/8/1P2p3/P2Q2PP/3R2K1 w - - 0 37,Re1
3r2k1/p2P2p1/1p2q3/2p4p/8/1P6/P2p2PP/4R1K1 w - - 0 38,Rxe6
3r2k1/p2P2p1/1p2R3/2p4p/8/1P6/P5PP/3q2K1 w - - 0 39,Kf2
rnbqkbnr/pppppppp/8/8/8/4P3/PPPP1PPP/RNBQKBNR b KQkq - 0 1,c5
rnbqkbnr/pp1ppppp/8/2p5/8/4P3/PPPPBPPP/RNBQK1NR b KQkq - 1 2,g6
rnbqkbnr/pp1ppp1p/6p1/2p5/8/2P1P3/PP1PBPPP/RNBQK1NR b KQkq - 0 3,Bg7
rnbqk1nr/pp1pppbp/6p1/2p5/8/2PPP3/PP2BPPP/RNBQK1NR b KQkq - 0 4,Nf6
rnbqk2r/pp1pppbp/5np1/2p5/8/2PPP3/PP1BBPPP/RN1QK1NR b KQkq - 2 5,d5
rnbqk2r/pp2ppbp/5np1/2pp4/5P2/2PPP3/PP1BB1PP/RN1QK1NR b KQkq - 0 6,c4
rnbqk2r/pp2ppbp/5np1/3p4/2pP1P2/2P1P3/PP1BB1PP/RN1QK1NR b KQkq - 0 7,O-O
rnbq1rk1/pp2ppbp/5np1/3p4/2pP1PP1/2P1P3/PP1BB2P/RN1QK1NR b KQ - 0 8,e6
rnbq1rk1/pp3pbp/4pnp1/3p2P1/2pP1P2/2P1P3/PP1BB2P/RN1QK1NR b KQ - 0 9,Nfd7
rnbq1rk1/pp1n1pbp/4p1p1/3p2P1/2pP1P1P/2P1P3/PP1BB3/RN1QK1NR b KQ - 0 10,f6
rnbq1rk1/pp1n2bp/4ppp1/3p2PP/2pP1P2/2P1P3/PP1BB3/RN1QK1NR b KQ - 0 11,fxg5
rnbq1rk1/pp1n2bp/4p1p1/3p2PP/2pP4/2P1P3/PP1BB3/RN1QK1NR b KQ - 0 12,Qxg5
rnb2rk1/pp1n2bp/4p1pP/3p2q1/2pP4/2P1P3/PP1BB3/RN1QK1NR b KQ - 0 13,Bxh6
rnb2rk1/pp1n3p/4p1pb/3p2q1/2pPP3/2P5/PP1BB3/RN1QK1NR b KQ - 0 14,Qg3#
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e4
rnbqkbnr/ppp1pppp/3p4/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,Nf3
rnbqkbnr/ppp1pp1p/3p2p1/8/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,h4
rnbqk1nr/ppp1ppbp/3p2p1/8/4P2P/5N2/PPPP1PP1/RNBQKB1R w KQkq - 1 4,d4
rnbqk1nr/ppp1ppb1/3p2p1/7p/3PP2P/5N2/PPP2PP1/RNBQKB1R w KQkq - 0 5,Be2
r1bqk1nr/ppp1ppb1/2np2p1/7p/3PP2P/5N2/PPP1BPP1/RNBQK2R w KQkq - 2 6,Nh2
r1bqk1nr/ppp1ppb1/3p2p1/7p/3nP2P/8/PPP1BPPN/RNBQK2R w KQkq - 0 7,c3
r1bqk1nr/ppp1ppb1/3p2p1/7p/4P2P/2P5/PP2nPPN/RNBQK2R w KQkq - 0 8,Qxe2
r1bqk2r/ppp1ppb1/3p1np1/7p/4P2P/2P5/PP2QPPN/RNB1K2R w KQkq - 1 9,f3
r1bqk2r/ppp2pb1/3p1np1/4p2p/4P2P/2P2P2/PP2Q1PN/RNB1K2R w KQkq - 0 10,g4
r1bqk2r/ppp2pb1/3p1np1/4p3/4P1pP/2P2P2/PP2Q2N/RNB1K2R w KQkq - 0 11,Nxg4
r1bqk2r/ppp2pb1/3p2p1/4p3/4P1nP/2P2P2/PP2Q3/RNB1K2R w KQkq - 0 12,fxg4
r1bqk3/ppp2pb1/3p2p1/4p3/4P1Pr/2P5/PP2Q3/RNB1K2R w KQq - 0 13,Rxh4
r1b1k3/ppp2pb1/3p2p1/4p3/4P1Pq/2P5/PP2Q3/RNB1K3 w Qq - 0 14,Qf2
r1b1k3/ppp2pb1/3p2p1/4p3/4P1P1/2P5/PP3q2/RNB1K3 w Qq - 0 15,Kxf2
r3k3/ppp2pb1/3p2p1/4p3/4P1b1/2P5/PP3K2/RNB5 w q - 0 16,Be3
r7/pppk1pb1/3p2p1/4p3/4P1b1/2P1B3/PP3K2/RN6 w - - 2 17,Nd2
r7/p1pk1pb1/1p1p2p1/4p3/4P1b1/2P1B3/PP1N1K2/R7 w - - 0 18,Nc4
7r/p1pk1pb1/1p1p2p1/4p3/2N1P1b1/2P1B3/PP3K2/R7 w - - 2 19,Rg1
7r/p1pk1pb1/1p1pb1p1/4p3/2N1P3/2P1B3/PP3K2/6R1 w - - 4 20,Nd2
7r/p1pk1p2/1p1pbbp1/4p3/4P3/2P1B3/PP1N1K2/6R1 w - - 6 21,Nf3
8/p1pk1p2/1p1pbbp1/4p3/4P3/2P1BN1r/PP3K2/6R1 w - - 8 22,Bg5
8/p1p1kp2/1p1pbbp1/4p1B1/4P3/2P2N1r/PP3K2/6R1 w - - 10 23,Bxf6+
8/p1p2p2/1p1pbkp1/4p3/4P3/2P2N1r/PP3K2/6R1 w - - 0 24,Ng5
8/p1p2p2/1p1pbkp1/4p1N1/4P3/2P5/PP3K1r/6R1 w - - 2 25,Ke3
8/p1p2p2/1p1pbkp1/4p1N1/4P3/2P1K3/Pr6/6R1 w - - 0 26,Nf3
8/p1p2p2/1p1p1kp1/4p3/4P3/2P1KN2/br6/6R1 w - - 0 27,Nd2
8/p1p2p2/1p1pbkp1/4p3/4P3/2P1K3/1r1N4/6R1 w - - 2 28,Rf1+
8/p1p1kp2/1p1pb1p1/4p3/4P3/2P1K3/1r1N4/5R2 w - - 4 29,c4
8/2p1kp2/1p1pb1p1/p3p3/2P1P3/4K3/1r1N4/5R2 w - - 0 30,Ra1
8/4kp2/1pppb1p1/p3p3/2P1P3/4K3/1r1N4/R7 w - - 0 31,Nf3
8/4kp2/1ppp2p1/p3p3/2b1P3/4KN2/1r6/R7 w - - 0 32,Ng5
8/4kp2/1ppp2p1/p3p1N1/4P3/1b2K3/1r6/R7 w - - 2 33,Kf3
8/4kp2/1ppp2p1/4p1N1/p3P3/1b3K2/1r6/R7 w - - 0 34,Rg1
8/4kp2/1ppp2p1/4p1N1/p3P3/1b3K2/r7/6R1 w - - 2 35,Ra1
8/4kp2/1ppp2p1/4p1N1/p3P3/1b3K2/8/r7 w - - 0 36,Nxf7
8/4kN2/1ppp2p1/4p3/4P3/pb3K2/8/r7 w - - 0 37,Ng5
8/4k3/1ppp2p1/4p1N1/4P3/1b3K2/p7/r7 w - - 0 38,Nh3
8/4k3/1ppp2p1/4p3/4P3/1b3K1N/p7/1r6 w - - 2 39,Nf2
8/4k3/1ppp2p1/4p3/4P3/1b3K2/5N2/qr6 w - - 0 40,Kg3
8/4k3/1ppp2p1/4p3/4P3/1b4K1/5N2/q4r2 w - - 2 41,Kg4
8/4k3/1ppp2p1/4p3/4P1K1/1b6/1q3N2/5r2 w - - 4 42,Nh3
8/4k3/1ppp2p1/4p3/4P1K1/1b5N/1q6/7r w - - 6 43,Kg5
8/4k3/1ppp2p1/4p1K1/4P3/1b5N/6q1/7r w - - 8 44,Kh6
8/4k3/1ppp2pK/4p3/4P3/1b5r/6q1/8 w - - 0 45,Kg7
8/4k1K1/1ppp4/4p1p1/4P3/1b5r/6q1/8 w - - 0 46,Kg6
8/4k3/1ppp2K1/4p1p1/4q3/1b5r/8/8 w - - 0 47,Kg7
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,c5
rnbqkbnr/pp1ppppp/8/2pP4/8/8/PPP1PPPP/RNBQKBNR b KQkq - 0 2,e6
rnbqkbnr/pp1p1ppp/4p3/2pP4/2P5/8/PP2PPPP/RNBQKBNR b KQkq - 0 3,exd5
rnbqkbnr/pp1p1ppp/8/2pP4/8/8/PP2PPPP/RNBQKBNR b KQkq - 0 4,d6
rnbqkbnr/pp3ppp/3p4/2pP4/8/2N5/PP2PPPP/R1BQKBNR b KQkq - 1 5,Nf6
rnbqkb1r/pp3ppp/3p1n2/2pP4/4P3/2N5/PP3PPP/R1BQKBNR b KQkq - 0 6,Be7
rnbqk2r/pp2bppp/3p1n2/2pP4/4P3/2N5/PP2BPPP/R1BQK1NR b KQkq - 2 7,O-O
rnbq1rk1/pp2bppp/3p1n2/2pP4/4P3/2N5/PPQ1BPPP/R1B1K1NR b KQ - 4 8,Nbd7
r1bq1rk1/pp1nbppp/3p1n2/2pP4/4P3/2N4P/PPQ1BPP1/R1B1K1NR b KQ - 0 9,b5
r1bq1rk1/p2nbppp/3p1n2/1BpP4/4P3/2N4P/PPQ2PP1/R1B1K1NR b KQ - 0 10,a6
r1bq1rk1/3nbppp/p2p1n2/2pP4/4P3/2N4P/PPQ1BPP1/R1B1K1NR b KQ - 1 11,Ne5
r1bq1rk1/4bppp/p2p1n2/2pPn3/4P3/2N2N1P/PPQ1BPP1/R1B1K2R b KQ - 3 12,Nxf3+
r1bq1rk1/4bppp/p2p1n2/2pP4/4P3/2N2B1P/PPQ2PP1/R1B1K2R b KQ - 0 13,a5
r1bq1rk1/4bppp/3p1n2/p1pP4/4P3/2N2B1P/PPQ2PP1/R1B2RK1 b - - 1 14,Ba6
r2q1rk1/4bppp/b2p1n2/p1pP4/4P3/2N2B1P/PPQ2PP1/R1B1R1K1 b - - 3 15,Qb6
r4rk1/4bppp/bq1p1n2/p1pPP3/8/2N2B1P/PPQ2PP1/R1B1R1K1 b - - 0 16,dxe5
r4rk1/4bppp/bq3n2/p1pPR3/8/2N2B1P/PPQ2PP1/R1B3K1 b - - 0 17,Rfd8
r2r2k1/4bppp/bq3n2/p1pPR3/N7/5B1P/PPQ2PP1/R1B3K1 b - - 2 18,Qd6
r2r2k1/4bppp/b2q1n2/p1pPR3/N4B2/5B1P/PPQ2PP1/R5K1 b - - 4 19,Nxd5
r2r2k1/4bppp/b2q4/p1pBR3/N4B2/7P/PPQ2PP1/R5K1 b - - 0 20,Bf6
r2rR1k1/5ppp/b2q1b2/p1pB4/N4B2/7P/PPQ2PP1/R5K1 b - - 2 21,Rxe8
r3r1k1/5ppp/b2B1b2/p1pB4/N7/7P/PPQ2PP1/R5K1 b - - 0 22,Rad8
3rr1k1/5ppp/b1BB1b2/p1p5/N7/7P/PPQ2PP1/R5K1 b - - 2 23,Re6
3r2k1/5ppp/b1BBrb2/p1N5/8/7P/PPQ2PP1/R5K1 b - - 0 24,Rexd6
3r2k1/5ppp/N1Br1b2/p7/8/7P/PPQ2PP1/R5K1 b - - 0 25,Rc8
2r3k1/5ppp/N1Br1b2/p7/8/7P/PPQ2PP1/4R1K1 b - - 2 26,h6
1Nr3k1/5pp1/2Br1b1p/p7/8/7P/PPQ2PP1/4R1K1 b - - 1 27,Rxb8
1r4k1/5pp1/2Br1b1p/p1Q5/8/7P/PP3PP1/4R1K1 b - - 1 28,Rbd8
3r2k1/5pp1/3r1b1p/p1Q5/8/5B1P/PP3PP1/4R1K1 b - - 3 29,Rd1
3r2k1/5pp1/5b1p/p1Q5/8/7P/PP3PP1/3BR1K1 b - - 0 30,Rxd1
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e4
rnbqkbnr/ppp1pppp/3p4/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,Nf3
rnbqkbnr/ppp1pp1p/3p2p1/8/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,d4
rnbqk1nr/ppp1ppbp/3p2p1/8/3PP3/5N2/PPP2PPP/RNBQKB1R w KQkq - 1 4,c3
rnbqk1nr/pp2ppbp/2pp2p1/8/3PP3/2P2N2/PP3PPP/RNBQKB1R w KQkq - 0 5,Nbd2
rnbqk2r/pp2ppbp/2pp1np1/8/3PP3/2P2N2/PP1N1PPP/R1BQKB1R w KQkq - 2 6,Nb3
rnbq1rk1/pp2ppbp/2pp1np1/8/3PP3/1NP2N2/PP3PPP/R1BQKB1R w KQ - 4 7,Bg5
r1bq1rk1/pp1nppbp/2pp1np1/6B1/3PP3/1NP2N2/PP3PPP/R2QKB1R w KQ - 6 8,h4
r1bq1rk1/pp1nppb1/2pp1np1/6Bp/3PP2P/1NP2N2/PP3PP1/R2QKB1R w KQ - 0 9,Qd2
r1bqr1k1/pp1nppb1/2pp1np1/6Bp/3PP2P/1NP2N2/PP1Q1PP1/R3KB1R w KQ - 2 10,Be2
r1bqr1k1/p2nppb1/2pp1np1/1p4Bp/3PP2P/1NP2N2/PP1QBPP1/R3K2R w KQ - 0 11,O-O-O
r1bqr1k1/p3ppb1/1npp1np1/1p4Bp/3PP2P/1NP2N2/PP1QBPP1/2KR3R w - - 2 12,Nh2
r1bqr1k1/4ppb1/1npp1np1/pp4Bp/3PP2P/1NP5/PP1QBPPN/2KR3R w - - 0 13,g4
r1bqr1k1/4ppb1/1npp1np1/1p4Bp/p2PP1PP/1NP5/PP1QBP1N/2KR3R w - - 0 14,Bxf6
r1bqr1k1/4ppb1/1npp1Bp1/1p5p/3PP1PP/1pP5/PP1QBP1N/2KR3R w - - 0 15,Bxg7
r1bqr1k1/4ppB1/1npp2p1/1p5p/3PP1PP/2P5/pP1QBP1N/2KR3R w - - 0 16,Kc2
r1bqr3/4ppk1/1npp2p1/1p5p/3PP1PP/2P5/pPKQBP1N/3R3R w - - 0 17,gxh5
r1bqr3/4ppk1/2pp2p1/1p5P/2nPP2P/2P5/pPKQBP1N/3R3R w - - 1 18,hxg6
r1bqr3/4ppk1/2pp2P1/1p6/3PP2P/2P5/pPKnBP1N/3R3R w - - 0 19,gxf7
r1bqr3/4pk2/2pp4/1p6/3PP2P/2P5/pPKnBP1N/3R3R w - - 0 20,Rxd2
r1b1r3/4pk2/2pp4/qp6/3PP2P/2P5/pPKRBP1N/7R w - - 1 21,Ra1
r1b1r3/4pk2/2pp4/1p6/q2PP2P/2P5/pPKRBP1N/R7 w - - 3 22,b3
r1b1r3/q3pk2/2pp4/1p6/3PP2P/1PP5/p1KRBP1N/R7 w - - 1 23,Bh5+
r1b1rk2/q3p3/2pp4/1p5B/3PP2P/1PP5/p1KR1P1N/R7 w - - 3 24,f4
r1b1rk2/q3p3/2p5/1p1p3B/3PPP1P/1PP5/p1KR3N/R7 w - - 0 25,exd5
r3rk2/q3p3/2p5/1p1P1b1B/3P1P1P/1PP5/p1KR3N/R7 w - - 1 26,Kb2
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e4
rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,Nf3
rnbqkbnr/pp1p1ppp/4p3/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,d4
rnbqkbnr/pp1p1ppp/4p3/8/3pP3/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 4,Nxd4
r1bqkbnr/pp1p1ppp/2n1p3/8/3NP3/8/PPP2PPP/RNBQKB1R w KQkq - 1 5,Nxc6
r1bqkbnr/p2p1ppp/2p1p3/8/4P3/8/PPP2PPP/RNBQKB1R w KQkq - 0 6,Nc3
r1bqkbnr/3p1ppp/p1p1p3/8/4P3/2N5/PPP2PPP/R1BQKB1R w KQkq - 0 7,Bc4
r1bqkbnr/5ppp/p1p1p3/3p4/2B1P3/2N5/PPP2PPP/R1BQK2R w KQkq - 0 8,exd5
r1bqkbnr/5ppp/p3p3/3p4/2B5/2N5/PPP2PPP/R1BQK2R w KQkq - 0 9,Be2
r2qkbnr/1b3ppp/p3p3/3p4/8/2N5/PPP1BPPP/R1BQK2R w KQkq - 2 10,h4
r2qkb1r/1b3ppp/p3pn2/3p4/7P/2N5/PPP1BPP1/R1BQK2R w KQkq - 1 11,Bg5
r2qk2r/1b2bppp/p3pn2/3p2B1/7P/2N5/PPP1BPP1/R2QK2R w KQkq - 3 12,Qd2
2rqk2r/1b2bppp/p3pn2/3p2B1/7P/2N5/PPPQBPP1/R3K2R w KQk - 5 13,h5
2rqk2r/1b2bppp/p3pn2/6BP/3p4/2N5/PPPQBPP1/R3K2R w KQk - 0 14,Bxf6
2rqk2r/1b3ppp/p3pb2/7P/3p4/2N5/PPPQBPP1/R3K2R w KQk - 0 15,Ne4
2rqk2r/5ppp/p3pb2/7P/3pb3/8/PPPQBPP1/R3K2R w KQk - 0 16,f3
b1rqk2r/5ppp/p3pb2/7P/3p4/5P2/PPPQB1P1/R3K2R w KQk - 1 17,Bxa6
br1qk2r/5ppp/B3pb2/7P/3p4/5P2/PPPQ2P1/R3K2R w KQk - 1 18,h6
br1qk2r/5p1p/B3pbpP/8/3p4/5P2/PPPQ2P1/R3K2R w KQk - 0 19,O-O-O
br1q1rk1/5p1p/B3pbpP/8/3p4/5P2/PPPQ2P1/2KR3R w - - 2 20,Qf4
br1q1rkb/5p1p/B3p1pP/8/3p1Q2/5P2/PPP3P1/2KR3R w - - 4 21,Rd3
br3rkb/5p1p/Bq2p1pP/8/3p1Q2/3R1P2/PPP3P1/2K4R w - - 6 22,Bc4
br3rkb/5p1p/4p1pP/8/2Bp1Q2/3R1P2/PqP3P1/2K4R w - - 0 23,Kd2
1r3rkb/5p1p/4p1pP/3b4/2Bp1Q2/3R1P2/PqPK2P1/7R w - - 2 24,Bxd5
1r3rkb/5p1p/6pP/3p4/3p1Q2/3R1P2/PqPK2P1/7R w - - 0 25,Re1
1r3rkb/5p1p/6pP/3p4/1q1p1Q2/3R1P2/P1PK2P1/4R3 w - - 2 26,c3
1r3rkb/5p1p/6pP/3p4/1q3Q2/2pR1P2/P2K2P1/4R3 w - - 0 27,Rxc3
1r3rkb/5p1p/6pP/3p4/5q2/2R2P2/P2K2P1/4R3 w - - 0 28,Kc2
1r3rk1/5p1p/6pP/3p4/5q2/2b2P2/P1K3P1/4R3 w - - 0 29,Kxc3
1rr3k1/5p1p/6pP/3p4/5q2/2K2P2/P5P1/4R3 w - - 1 30,Kd3
1rr3k1/5p1p/6pP/3p4/2q5/3K1P2/P5P1/4R3 w - - 3 31,Kd2
2r3k1/5p1p/6pP/3p4/2q5/5P2/Pr1K2P1/4R3 w - - 5 32,Ke3
2r3k1/5p1p/6pP/3p4/8/2q1KP2/Pr4P1/4R3 w - - 7 33,Kf4
6k1/5p1p/6pP/3p4/2r2K2/2q2P2/Pr4P1/4R3 w - - 9 34,Kg3
6k1/5p1p/6pP/3p4/2r5/5PK1/Pr1q2P1/4R3 w - - 11 35,Re8#
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,c5
rnbqkbnr/pp1ppppp/8/2P5/8/8/PPP1PPPP/RNBQKBNR b KQkq - 0 2,d5
rnbqkbnr/pp2pppp/3P4/8/8/8/PPP1PPPP/RNBQKBNR b KQkq - 0 3,g6
rnbqkbnr/pp2pp1p/3P2p1/8/8/8/PPPBPPPP/RN1QKBNR b KQkq - 1 4,Bg7
rnbqk1nr/pp2ppbp/3P2p1/8/8/2N5/PPPBPPPP/R2QKBNR b KQkq - 3 5,exd6
rnbqk1nr/pp3pbp/3p2p1/8/4P3/2N5/PPPB1PPP/R2QKBNR b KQkq - 0 6,Nf6
rnbqk2r/pp3pbp/3p1np1/8/4P3/2N5/PPPBBPPP/R2QK1NR b KQkq - 2 7,Be6
rn1qk2r/pp3pbp/3pbnp1/8/4P3/2N4P/PPPBBPP1/R2QK1NR b KQkq - 0 8,O-O
